user_id,item_id,response
843    ,427    ,0
144    ,173    ,1
601    ,250    ,0
751    ,751    ,0
201    ,275    ,0
68     ,125    ,0
487    ,423    ,0
117    ,173    ,1
788    ,591    ,0
345    ,118    ,0
253    ,132    ,1
880    ,99     ,0
605    ,64     ,1
929    ,435    ,0
329    ,294    ,0
773    ,475    ,0
481    ,393    ,0
648    ,218    ,0
897    ,96     ,1
148    ,227    ,0
653    ,96     ,0
451    ,322    ,0
6      ,435    ,0
840    ,187    ,0
13     ,527    ,1
401    ,527    ,0
447    ,257    ,0
270    ,25     ,1
405    ,265    ,0
799    ,319    ,0
151    ,582    ,1
554    ,50     ,0
678    ,276    ,1
727    ,100    ,0
383    ,100    ,0
813    ,751    ,1
862    ,216    ,1
243    ,14     ,0
59     ,402    ,0
551    ,568    ,0
243    ,511    ,1
896    ,566    ,0
596    ,300    ,0
907    ,118    ,0
437    ,523    ,0
394    ,118    ,0
537    ,182    ,0
447    ,151    ,0
622    ,185    ,0
689    ,7      ,1
124    ,474    ,0
66     ,597    ,0
85     ,284    ,0
655    ,568    ,0
64     ,275    ,0
479    ,257    ,0
705    ,568    ,1
834    ,15     ,0
457    ,77     ,0
758    ,508    ,0
59     ,385    ,0
568    ,187    ,0
864    ,423    ,1
271    ,118    ,0
125    ,732    ,0
242    ,294    ,0
313    ,234    ,0
94     ,229    ,0
213    ,11     ,0
660    ,423    ,0
303    ,393    ,0
72     ,265    ,0
64     ,568    ,0
159    ,301    ,0
138    ,285    ,0
145    ,333    ,0
562    ,50     ,1
316    ,323    ,0
459    ,300    ,0
943    ,202    ,0
18     ,25     ,0
566    ,235    ,0
503    ,496    ,1
439    ,268    ,0
354    ,83     ,0
225    ,143    ,0
237    ,423    ,0
586    ,403    ,0
343    ,283    ,0
91     ,480    ,0
542    ,265    ,0
806    ,209    ,0
379    ,187    ,1
862    ,200    ,1
455    ,7      ,0
18     ,133    ,1
616    ,269    ,0
180    ,204    ,0
592    ,357    ,0
405    ,193    ,0
579    ,168    ,0
213    ,13     ,0
848    ,588    ,0
197    ,50     ,1
487    ,210    ,0
345    ,315    ,1
292    ,100    ,1
922    ,252    ,0
868    ,385    ,0
918    ,179    ,0
441    ,25     ,0
503    ,121    ,0
868    ,568    ,0
234    ,498    ,1
528    ,58     ,1
916    ,211    ,0
547    ,319    ,0
334    ,245    ,0
99     ,313    ,1
887    ,143    ,1
807    ,678    ,0
374    ,237    ,1
542    ,186    ,0
413    ,628    ,0
249    ,476    ,0
360    ,28     ,0
263    ,31     ,0
192    ,252    ,0
751    ,655    ,0
463    ,268    ,0
203    ,117    ,0
724    ,288    ,0
312    ,479    ,1
800    ,1      ,0
279    ,732    ,0
363    ,751    ,0
537    ,132    ,0
868    ,193    ,0
840    ,185    ,1
627    ,9      ,0
796    ,9      ,0
293    ,97     ,0
56     ,748    ,0
659    ,257    ,0
843    ,252    ,0
655    ,88     ,0
664    ,692    ,0
195    ,582    ,0
921    ,143    ,1
731    ,8      ,0
42     ,161    ,0
747    ,69     ,1
407    ,393    ,0
160    ,234    ,1
721    ,684    ,0
488    ,318    ,0
453    ,257    ,0
43     ,117    ,0
6      ,515    ,0
380    ,31     ,0
455    ,4      ,0
486    ,321    ,0
509    ,50     ,1
508    ,234    ,0
124    ,144    ,0
850    ,153    ,0
177    ,527    ,0
721    ,527    ,1
60     ,751    ,0
447    ,546    ,0
753    ,527    ,0
61     ,751    ,0
843    ,655    ,0
711    ,228    ,0
195    ,14     ,0
538    ,96     ,0
655    ,845    ,0
343    ,175    ,1
66     ,286    ,0
471    ,8      ,1
457    ,195    ,1
901    ,230    ,1
648    ,187    ,0
137    ,300    ,1
59     ,216    ,0
747    ,208    ,1
339    ,582    ,0
865    ,472    ,0
852    ,472    ,0
549    ,678    ,0
862    ,238    ,0
716    ,196    ,1
269    ,402    ,0
867    ,117    ,0
679    ,318    ,1
339    ,227    ,0
146    ,319    ,0
197    ,89     ,1
592    ,97     ,0
214    ,13     ,0
89     ,127    ,1
455    ,197    ,1
565    ,83     ,1
503    ,405    ,0
674    ,127    ,1
18     ,202    ,0
211    ,117    ,0
943    ,229    ,0
904    ,289    ,1
250    ,196    ,0
244    ,240    ,0
162    ,1      ,0
354    ,98     ,0
830    ,1      ,0
625    ,216    ,0
7      ,546    ,0
535    ,196    ,0
823    ,175    ,0
747    ,97     ,1
230    ,70     ,0
58     ,340    ,0
