item_id,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18
1      ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
4      ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
7      ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0
8      ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
9      ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
11     ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0
12     ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0
13     ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
14     ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0
15     ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
22     ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0
23     ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0
24     ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
25     ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
28     ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0
31     ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,1  ,0
50     ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,1  ,1  ,0  ,1  ,0
56     ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
58     ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
64     ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
66     ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0
69     ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,0
70     ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0
71     ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0
77     ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0
79     ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0
82     ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0
83     ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0
88     ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0
89     ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0
